english_name,chinese_name,bilingual_name
librosa_mfcc5_min,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc5_min
librosa_mfcc5_max,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc5_max
librosa_mfcc6_mean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc6_mean
librosa_mfcc6_std,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc6_std
librosa_mfcc6_min,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc6_min
librosa_mfcc6_max,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc6_max
librosa_mfcc7_mean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc7_mean
librosa_mfcc7_std,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc7_std
librosa_mfcc7_min,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc7_min
librosa_mfcc7_max,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc7_max
librosa_mfcc8_mean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc8_mean
librosa_mfcc8_std,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc8_std
librosa_mfcc8_min,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc8_min
librosa_mfcc8_max,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc8_max
librosa_mfcc9_mean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc9_mean
librosa_mfcc9_std,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc9_std
librosa_mfcc9_min,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc9_min
librosa_mfcc9_max,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc9_max
librosa_mfcc10_mean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc10_mean
librosa_mfcc10_std,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc10_std
librosa_mfcc10_min,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc10_min
librosa_mfcc10_max,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc10_max
librosa_mfcc11_mean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc11_mean
librosa_mfcc11_std,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc11_std
librosa_mfcc11_min,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc11_min
librosa_mfcc11_max,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc11_max
librosa_mfcc12_mean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc12_mean
librosa_mfcc12_std,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc12_std
librosa_mfcc12_min,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc12_min
librosa_mfcc12_max,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc12_max
librosa_mfcc13_mean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc13_mean
librosa_mfcc13_std,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc13_std
librosa_mfcc13_min,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc13_min
librosa_mfcc13_max,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc13_max
scipy_psd_mean,scipy_psd_mean,scipy_psd_mean / scipy_psd_mean
scipy_psd_std,scipy_psd_std,scipy_psd_std / scipy_psd_std
scipy_psd_min,scipy_psd_min,scipy_psd_min / scipy_psd_min
scipy_psd_max,scipy_psd_max,scipy_psd_max / scipy_psd_max
scipy_bandpower_0_250_hz,scipy_bandpower_0_250_hz,scipy_bandpower_0_250_hz / scipy_bandpower_0_250_hz
scipy_bandpower_250_500_hz,scipy_bandpower_250_500_hz,scipy_bandpower_250_500_hz / scipy_bandpower_250_500_hz
scipy_bandpower_500_1000_hz,scipy_bandpower_500_1000_hz,scipy_bandpower_500_1000_hz / scipy_bandpower_500_1000_hz
scipy_bandpower_1000_2000_hz,scipy_bandpower_1000_2000_hz,scipy_bandpower_1000_2000_hz / scipy_bandpower_1000_2000_hz
scipy_bandpower_2000_4000_hz,scipy_bandpower_2000_4000_hz,scipy_bandpower_2000_4000_hz / scipy_bandpower_2000_4000_hz
scipy_bandpower_4000_8000_hz,scipy_bandpower_4000_8000_hz,scipy_bandpower_4000_8000_hz / scipy_bandpower_4000_8000_hz
lpcc1,lpcc1,lpcc1 / lpcc1
lpcc2,lpcc2,lpcc2 / lpcc2
lpcc3,lpcc3,lpcc3 / lpcc3
lpcc4,lpcc4,lpcc4 / lpcc4
lpcc5,lpcc5,lpcc5 / lpcc5
lpcc6,lpcc6,lpcc6 / lpcc6
lpcc7,lpcc7,lpcc7 / lpcc7
lpcc8,lpcc8,lpcc8 / lpcc8
lpcc9,lpcc9,lpcc9 / lpcc9
lpcc10,lpcc10,lpcc10 / lpcc10
lpcc11,lpcc11,lpcc11 / lpcc11
lpcc12,lpcc12,lpcc12 / lpcc12
lpcc13,lpcc13,lpcc13 / lpcc13
opensmile_F0semitoneFrom27.5Hz_sma3nz_amean,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_amean
opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevNorm,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevNorm
opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile20.0
opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile50.0
opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile80.0,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile80.0
opensmile_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2
opensmile_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope
opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope
opensmile_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope
opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope
opensmile_loudness_sma3_amean,响度相关指标,响度相关指标 / opensmile_loudness_sma3_amean
opensmile_loudness_sma3_stddevNorm,响度相关指标,响度相关指标 / opensmile_loudness_sma3_stddevNorm
opensmile_loudness_sma3_percentile20.0,响度相关指标,响度相关指标 / opensmile_loudness_sma3_percentile20.0
opensmile_loudness_sma3_percentile50.0,响度相关指标,响度相关指标 / opensmile_loudness_sma3_percentile50.0
opensmile_loudness_sma3_percentile80.0,响度相关指标,响度相关指标 / opensmile_loudness_sma3_percentile80.0
opensmile_loudness_sma3_pctlrange0-2,响度相关指标,响度相关指标 / opensmile_loudness_sma3_pctlrange0-2
opensmile_loudness_sma3_meanRisingSlope,响度相关指标,响度相关指标 / opensmile_loudness_sma3_meanRisingSlope
opensmile_loudness_sma3_stddevRisingSlope,响度相关指标,响度相关指标 / opensmile_loudness_sma3_stddevRisingSlope
opensmile_loudness_sma3_meanFallingSlope,响度相关指标,响度相关指标 / opensmile_loudness_sma3_meanFallingSlope
opensmile_loudness_sma3_stddevFallingSlope,响度相关指标,响度相关指标 / opensmile_loudness_sma3_stddevFallingSlope
opensmile_spectralFlux_sma3_amean,频谱通量相关指标,频谱通量相关指标 / opensmile_spectralFlux_sma3_amean
opensmile_spectralFlux_sma3_stddevNorm,频谱通量相关指标,频谱通量相关指标 / opensmile_spectralFlux_sma3_stddevNorm
opensmile_mfcc1_sma3_amean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc1_sma3_amean
opensmile_mfcc1_sma3_stddevNorm,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc1_sma3_stddevNorm
opensmile_mfcc2_sma3_amean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc2_sma3_amean
opensmile_mfcc2_sma3_stddevNorm,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc2_sma3_stddevNorm
opensmile_mfcc3_sma3_amean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc3_sma3_amean
opensmile_mfcc3_sma3_stddevNorm,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc3_sma3_stddevNorm
opensmile_mfcc4_sma3_amean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc4_sma3_amean
opensmile_mfcc4_sma3_stddevNorm,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc4_sma3_stddevNorm
opensmile_jitterLocal_sma3nz_amean,频率微扰Jitter相关指标,频率微扰Jitter相关指标 / opensmile_jitterLocal_sma3nz_amean
opensmile_jitterLocal_sma3nz_stddevNorm,频率微扰Jitter相关指标,频率微扰Jitter相关指标 / opensmile_jitterLocal_sma3nz_stddevNorm
opensmile_shimmerLocaldB_sma3nz_amean,振幅微扰Shimmer相关指标,振幅微扰Shimmer相关指标 / opensmile_shimmerLocaldB_sma3nz_amean
opensmile_shimmerLocaldB_sma3nz_stddevNorm,振幅微扰Shimmer相关指标,振幅微扰Shimmer相关指标 / opensmile_shimmerLocaldB_sma3nz_stddevNorm
opensmile_HNRdBACF_sma3nz_amean,谐波噪声比或谐波性相关指标,谐波噪声比或谐波性相关指标 / opensmile_HNRdBACF_sma3nz_amean
opensmile_HNRdBACF_sma3nz_stddevNorm,谐波噪声比或谐波性相关指标,谐波噪声比或谐波性相关指标 / opensmile_HNRdBACF_sma3nz_stddevNorm
opensmile_logRelF0-H1-H2_sma3nz_amean,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_logRelF0-H1-H2_sma3nz_amean
opensmile_logRelF0-H1-H2_sma3nz_stddevNorm,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_logRelF0-H1-H2_sma3nz_stddevNorm
opensmile_logRelF0-H1-A3_sma3nz_amean,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_logRelF0-H1-A3_sma3nz_amean
opensmile_logRelF0-H1-A3_sma3nz_stddevNorm,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_logRelF0-H1-A3_sma3nz_stddevNorm
opensmile_F1frequency_sma3nz_amean,opensmile_F1frequency_sma3nz_amean,opensmile_F1frequency_sma3nz_amean / opensmile_F1frequency_sma3nz_amean
opensmile_F1frequency_sma3nz_stddevNorm,opensmile_F1frequency_sma3nz_stddevNorm,opensmile_F1frequency_sma3nz_stddevNorm / opensmile_F1frequency_sma3nz_stddevNorm
opensmile_F1bandwidth_sma3nz_amean,opensmile_F1bandwidth_sma3nz_amean,opensmile_F1bandwidth_sma3nz_amean / opensmile_F1bandwidth_sma3nz_amean
opensmile_F1bandwidth_sma3nz_stddevNorm,opensmile_F1bandwidth_sma3nz_stddevNorm,opensmile_F1bandwidth_sma3nz_stddevNorm / opensmile_F1bandwidth_sma3nz_stddevNorm
opensmile_F1amplitudeLogRelF0_sma3nz_amean,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F1amplitudeLogRelF0_sma3nz_amean
opensmile_F1amplitudeLogRelF0_sma3nz_stddevNorm,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F1amplitudeLogRelF0_sma3nz_stddevNorm
opensmile_F2frequency_sma3nz_amean,opensmile_F2frequency_sma3nz_amean,opensmile_F2frequency_sma3nz_amean / opensmile_F2frequency_sma3nz_amean
opensmile_F2frequency_sma3nz_stddevNorm,opensmile_F2frequency_sma3nz_stddevNorm,opensmile_F2frequency_sma3nz_stddevNorm / opensmile_F2frequency_sma3nz_stddevNorm
opensmile_F2bandwidth_sma3nz_amean,opensmile_F2bandwidth_sma3nz_amean,opensmile_F2bandwidth_sma3nz_amean / opensmile_F2bandwidth_sma3nz_amean
opensmile_F2bandwidth_sma3nz_stddevNorm,opensmile_F2bandwidth_sma3nz_stddevNorm,opensmile_F2bandwidth_sma3nz_stddevNorm / opensmile_F2bandwidth_sma3nz_stddevNorm
opensmile_F2amplitudeLogRelF0_sma3nz_amean,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F2amplitudeLogRelF0_sma3nz_amean
opensmile_F2amplitudeLogRelF0_sma3nz_stddevNorm,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F2amplitudeLogRelF0_sma3nz_stddevNorm
opensmile_F3frequency_sma3nz_amean,opensmile_F3frequency_sma3nz_amean,opensmile_F3frequency_sma3nz_amean / opensmile_F3frequency_sma3nz_amean
opensmile_F3frequency_sma3nz_stddevNorm,opensmile_F3frequency_sma3nz_stddevNorm,opensmile_F3frequency_sma3nz_stddevNorm / opensmile_F3frequency_sma3nz_stddevNorm
opensmile_F3bandwidth_sma3nz_amean,opensmile_F3bandwidth_sma3nz_amean,opensmile_F3bandwidth_sma3nz_amean / opensmile_F3bandwidth_sma3nz_amean
opensmile_F3bandwidth_sma3nz_stddevNorm,opensmile_F3bandwidth_sma3nz_stddevNorm,opensmile_F3bandwidth_sma3nz_stddevNorm / opensmile_F3bandwidth_sma3nz_stddevNorm
opensmile_F3amplitudeLogRelF0_sma3nz_amean,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F3amplitudeLogRelF0_sma3nz_amean
opensmile_F3amplitudeLogRelF0_sma3nz_stddevNorm,基频F0或音高相关指标,基频F0或音高相关指标 / opensmile_F3amplitudeLogRelF0_sma3nz_stddevNorm
opensmile_alphaRatioV_sma3nz_amean,频谱Alpha比率相关指标,频谱Alpha比率相关指标 / opensmile_alphaRatioV_sma3nz_amean
opensmile_alphaRatioV_sma3nz_stddevNorm,频谱Alpha比率相关指标,频谱Alpha比率相关指标 / opensmile_alphaRatioV_sma3nz_stddevNorm
opensmile_hammarbergIndexV_sma3nz_amean,Hammarberg频谱指数相关指标,Hammarberg频谱指数相关指标 / opensmile_hammarbergIndexV_sma3nz_amean
opensmile_hammarbergIndexV_sma3nz_stddevNorm,Hammarberg频谱指数相关指标,Hammarberg频谱指数相关指标 / opensmile_hammarbergIndexV_sma3nz_stddevNorm
opensmile_slopeV0-500_sma3nz_amean,频谱斜率相关指标,频谱斜率相关指标 / opensmile_slopeV0-500_sma3nz_amean
opensmile_slopeV0-500_sma3nz_stddevNorm,频谱斜率相关指标,频谱斜率相关指标 / opensmile_slopeV0-500_sma3nz_stddevNorm
opensmile_slopeV500-1500_sma3nz_amean,频谱斜率相关指标,频谱斜率相关指标 / opensmile_slopeV500-1500_sma3nz_amean
opensmile_slopeV500-1500_sma3nz_stddevNorm,频谱斜率相关指标,频谱斜率相关指标 / opensmile_slopeV500-1500_sma3nz_stddevNorm
opensmile_spectralFluxV_sma3nz_amean,频谱通量相关指标,频谱通量相关指标 / opensmile_spectralFluxV_sma3nz_amean
opensmile_spectralFluxV_sma3nz_stddevNorm,频谱通量相关指标,频谱通量相关指标 / opensmile_spectralFluxV_sma3nz_stddevNorm
opensmile_mfcc1V_sma3nz_amean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc1V_sma3nz_amean
opensmile_mfcc1V_sma3nz_stddevNorm,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc1V_sma3nz_stddevNorm
opensmile_mfcc2V_sma3nz_amean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc2V_sma3nz_amean
opensmile_mfcc2V_sma3nz_stddevNorm,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc2V_sma3nz_stddevNorm
opensmile_mfcc3V_sma3nz_amean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc3V_sma3nz_amean
opensmile_mfcc3V_sma3nz_stddevNorm,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc3V_sma3nz_stddevNorm
opensmile_mfcc4V_sma3nz_amean,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc4V_sma3nz_amean
opensmile_mfcc4V_sma3nz_stddevNorm,梅尔频率倒谱系数MFCC相关指标,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc4V_sma3nz_stddevNorm
opensmile_alphaRatioUV_sma3nz_amean,频谱Alpha比率相关指标,频谱Alpha比率相关指标 / opensmile_alphaRatioUV_sma3nz_amean
opensmile_hammarbergIndexUV_sma3nz_amean,Hammarberg频谱指数相关指标,Hammarberg频谱指数相关指标 / opensmile_hammarbergIndexUV_sma3nz_amean
opensmile_slopeUV0-500_sma3nz_amean,频谱斜率相关指标,频谱斜率相关指标 / opensmile_slopeUV0-500_sma3nz_amean
opensmile_slopeUV500-1500_sma3nz_amean,频谱斜率相关指标,频谱斜率相关指标 / opensmile_slopeUV500-1500_sma3nz_amean
opensmile_spectralFluxUV_sma3nz_amean,频谱通量相关指标,频谱通量相关指标 / opensmile_spectralFluxUV_sma3nz_amean
opensmile_loudnessPeaksPerSec,响度相关指标,响度相关指标 / opensmile_loudnessPeaksPerSec
opensmile_VoicedSegmentsPerSec,浊音或发声相关指标,浊音或发声相关指标 / opensmile_VoicedSegmentsPerSec
opensmile_MeanVoicedSegmentLengthSec,浊音或发声相关指标,浊音或发声相关指标 / opensmile_MeanVoicedSegmentLengthSec
opensmile_StddevVoicedSegmentLengthSec,浊音或发声相关指标,浊音或发声相关指标 / opensmile_StddevVoicedSegmentLengthSec
opensmile_MeanUnvoicedSegmentLength,浊音或发声相关指标,浊音或发声相关指标 / opensmile_MeanUnvoicedSegmentLength
opensmile_StddevUnvoicedSegmentLength,浊音或发声相关指标,浊音或发声相关指标 / opensmile_StddevUnvoicedSegmentLength
opensmile_equivalentSoundLevel_dBp,opensmile_equivalentSoundLevel_dBp,opensmile_equivalentSoundLevel_dBp / opensmile_equivalentSoundLevel_dBp
praat_intensity_mean_db,强度相关指标,强度相关指标 / praat_intensity_mean_db
praat_intensity_std_db,强度相关指标,强度相关指标 / praat_intensity_std_db
praat_intensity_min_db,强度相关指标,强度相关指标 / praat_intensity_min_db
praat_intensity_max_db,强度相关指标,强度相关指标 / praat_intensity_max_db
praat_F1_mean_hz,praat_F1_mean_hz,praat_F1_mean_hz / praat_F1_mean_hz
praat_F1_std_hz,praat_F1_std_hz,praat_F1_std_hz / praat_F1_std_hz
praat_F1_median_hz,praat_F1_median_hz,praat_F1_median_hz / praat_F1_median_hz
praat_F2_mean_hz,praat_F2_mean_hz,praat_F2_mean_hz / praat_F2_mean_hz
praat_F2_std_hz,praat_F2_std_hz,praat_F2_std_hz / praat_F2_std_hz
praat_F2_median_hz,praat_F2_median_hz,praat_F2_median_hz / praat_F2_median_hz
praat_F3_mean_hz,praat_F3_mean_hz,praat_F3_mean_hz / praat_F3_mean_hz
praat_F3_std_hz,praat_F3_std_hz,praat_F3_std_hz / praat_F3_std_hz
praat_F3_median_hz,praat_F3_median_hz,praat_F3_median_hz / praat_F3_median_hz
praat_HNR_mean_db,谐波噪声比或谐波性相关指标,谐波噪声比或谐波性相关指标 / praat_HNR_mean_db
praat_HNR_std_db,谐波噪声比或谐波性相关指标,谐波噪声比或谐波性相关指标 / praat_HNR_std_db
praat_jitter_local,频率微扰Jitter相关指标,频率微扰Jitter相关指标 / praat_jitter_local
praat_jitter_rap,频率微扰Jitter相关指标,频率微扰Jitter相关指标 / praat_jitter_rap
praat_jitter_ppq5,频率微扰Jitter相关指标,频率微扰Jitter相关指标 / praat_jitter_ppq5
praat_shimmer_local,振幅微扰Shimmer相关指标,振幅微扰Shimmer相关指标 / praat_shimmer_local
praat_shimmer_apq3,振幅微扰Shimmer相关指标,振幅微扰Shimmer相关指标 / praat_shimmer_apq3
praat_shimmer_apq5,振幅微扰Shimmer相关指标,振幅微扰Shimmer相关指标 / praat_shimmer_apq5
praat_shimmer_apq11,振幅微扰Shimmer相关指标,振幅微扰Shimmer相关指标 / praat_shimmer_apq11
